Run_./2018-02-16/otu_table.biom-0/0 Run_./2018-02-16/otu_table.biom-0/1 Run_./2018-02-16/otu_table.biom-0/2 Run_./2022-07-08/ITS/ASV_Table.biom-1/0 Run_./2022-02-18/beuty5958.biom-2/0 Run_./2022-02-18/beuty5958.biom-2/1 Run_./2022-04-19/beuty6409.biom-3/0 Run_./2022-04-19/ITS/ASV_Table.biom-4/0 Run_./2022-07-11/beuty6948.biom-5/0 Run_./2022-08-19/ASV_Table.biom-6/0 Run_./2022-08-19/ITS/ASV_Table.biom-7/0 Run_./2018-03-09/otu_table.biom-8/0 Run_./2018-03-09/otu_table.biom-8/1 Run_./2018-03-09/otu_table.biom-8/2 Run_./2018-03-09/otu_table.biom-8/3 key_0 key_1 key_2 key_3 key_4 key_5 key_6
12420 11161 0 0 0 0 0 0 0 0 0 12420 4397 11161 0 k__Bacteria p__Firmicutes c__Negativicutes o__Selenomonadales f__Veillonellaceae g__Megamonas s__funiformis
5115 12745 320 0 0 0 0 0 0 0 0 5288 7997 12458 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Fusobacteriaceae g__Fusobacterium s__perfoetens
13755 6030 0 0 10603 0 0 0 5216 8657 0 13755 5307 6030 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Fusobacteriaceae g__Fusobacterium s__mortiferum
6799 2478 0 0 0 0 0 0 0 0 0 6799 1230 2478 0 seq5 X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-02-16/otu_table.biom_seq4 X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-02-16/otu_table.biom_seq4 X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-02-16/otu_table.biom_seq4 X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-02-16/otu_table.biom_seq4 X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-02-16/otu_table.biom_seq4 X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-03-09/otu_table.biom_seq5_X__./2018-02-16/otu_table.biom_seq4
0 9088 0 0 0 0 0 0 0 0 0 0 6107 9088 0 seq4 X__./2018-03-09/otu_table.biom_seq4_X__./2018-03-09/otu_table.biom_seq4_X__./2018-02-16/otu_table.biom_seq5 X__./2018-03-09/otu_table.biom_seq4_X__./2018-03-09/otu_table.biom_seq4_X__./2018-02-16/otu_table.biom_seq5 X__./2018-03-09/otu_table.biom_seq4_X__./2018-03-09/otu_table.biom_seq4_X__./2018-02-16/otu_table.biom_seq5 X__./2018-03-09/otu_table.biom_seq4_X__./2018-03-09/otu_table.biom_seq4_X__./2018-02-16/otu_table.biom_seq5 X__./2018-03-09/otu_table.biom_seq4_X__./2018-03-09/otu_table.biom_seq4_X__./2018-02-16/otu_table.biom_seq5 X__./2018-03-09/otu_table.biom_seq4_X__./2018-03-09/otu_table.biom_seq4_X__./2018-02-16/otu_table.biom_seq5
5408 2750 0 0 0 0 0 0 0 0 0 5408 2099 2750 0 seq6 X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-02-16/otu_table.biom_seq6 X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-02-16/otu_table.biom_seq6 X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-02-16/otu_table.biom_seq6 X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-02-16/otu_table.biom_seq6 X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-02-16/otu_table.biom_seq6 X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-03-09/otu_table.biom_seq6_X__./2018-02-16/otu_table.biom_seq6
7105 7078 576 0 0 0 0 0 413 0 0 7187 2774 7089 0 k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Bacteroidaceae g__Bacteroides s__plebeius
2730 3407 0 0 0 0 0 0 0 0 0 2730 3964 3407 0 seq7 X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-02-16/otu_table.biom_seq8 X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-02-16/otu_table.biom_seq8 X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-02-16/otu_table.biom_seq8 X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-02-16/otu_table.biom_seq8 X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-02-16/otu_table.biom_seq8 X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-03-09/otu_table.biom_seq7_X__./2018-02-16/otu_table.biom_seq8
3837 1395 0 0 0 0 0 0 0 0 0 3837 717 1395 0 seq12 X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-02-16/otu_table.biom_seq9 X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-02-16/otu_table.biom_seq9 X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-02-16/otu_table.biom_seq9 X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-02-16/otu_table.biom_seq9 X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-02-16/otu_table.biom_seq9 X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-03-09/otu_table.biom_seq12_X__./2018-02-16/otu_table.biom_seq9
2872 2327 0 0 851 0 0 0 2485 4357 0 2872 899 2327 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__Blautia s__hansenii-producta
