Greta1 Greta2 Moe2 Peapod1 Peapod2 Beauty1 Beauty2 Brownie1 
0 0 0 0 0 0.0197482 0.382713 0 Escherichia-Shigella 
0 0 2.41928 0 0 0 0 0 Helicobacter 
31.8122 31.8122 20.3204 18.4739 18.4739 29.3541 19.158 29.6718 Fusobacterium 
0 0 2.1804 3.28369 3.28369 0 0 1.21692 Phascolarctobacterium 
16.3099 16.3099 5.8352 9.70843 9.70843 2.94907 2.15711 1.80614 Megamonas 
1.06369 1.06369 0.940905 0 0 0.148112 7.78101 0.046571 Faecalibacterium 
0 0 0 0 0 2.23978 0 0.11744 Anaerotruncus 
0 0 0 0 0 1.48276 0.270881 0 Paeniclostridium 
0 0 0 0 0 0 0 0.0587199 Clostridiales 
0 0 0 0 0 8.4835 12.3934 5.85377 o__Clostridiales 
1.64675 1.64675 0.384855 0.772429 0.772429 0 0 0 Lachnoclostridium-Pseudobutyrivibrio 
0.130007 0.130007 0.120765 0.0956838 0.0956838 0 0 0 Lachnoclostridium-Lachnospiraceae 
2.62902 2.62902 2.85589 3.26891 3.26891 5.98206 8.44951 8.6703 Lachnoclostridium 
12.7301 12.7301 3.66011 7.81215 7.81215 4.25903 12.1772 17.2232 Blautia 
0.0617203 0.0617203 1.06565 0 0 0 0 0 Sarcina 
0.816809 0.816809 14.7771 1.94238 1.94238 13.3037 1.65014 0.92332 Clostridium 
0 0 0 8.87163 8.87163 0 0 0 Prevotella 
0 0 0 0 0 0.190899 2.39072 0 f__Prevotellaceae 
0 0 11.0958 16.0479 16.0479 0 0 0 Alloprevotella 
22.4439 22.4439 16.4094 14.9841 14.9841 22.5245 14.553 17.8812 Bacteroides 
0 0 0 0 0 0 0 0.164011 Olsenella 
3.16218 3.16218 1.09617 2.0659 2.0659 3.98256 2.88526 4.95475 Collinsella 
